time 	 T1 	 T2 	 T3 	 H1 	  p1 	 p2 	 MFC_soll 	 MFC_ist 
 17:25:37.008238	-199.92	88.96	77.46	0	3313 	1994 	0 	 4 	  
 17:25:38.038794	-199.92	88.9	77.38	0.0	3313 	1994 	0 	 4 	  
 17:25:38.561025	-199.92	88.9	77.38	0.0	3313 	1994 	0 	 4 	  
 17:25:39.080309	-199.92	88.8	77.28	0.0	3313 	1994 	0 	 4 	  
 17:25:39.594844	-199.92	88.8	77.28	0.0	3313 	1994 	0 	 4 	  
 17:25:40.112823	-199.92	88.75	77.19	0.0	3313 	1994 	0 	 4 	  
 17:25:40.623598	-199.92	88.75	77.19	0.0	3313 	1994 	0 	 4 	  
 17:25:41.137986	-199.92	88.59	77.21	0.0	3313 	1994 	0 	 4 	  
 17:25:41.655485	-199.92	88.59	77.21	0.0	3314 	1994 	0 	 4 	  
 17:25:42.167918	-199.92	88.59	77.05	0.0	3314 	1994 	0 	 4 	  
 17:25:42.684602	-199.92	88.52	77.0	0.0	3314 	1995 	0 	 4 	  
 17:25:43.200238	-199.92	88.52	77.0	0.0	3314 	1995 	0 	 4 	  
 17:25:43.717844	-199.92	88.46	76.92	0.0	3314 	1995 	0 	 4 	  
 17:25:44.240117	-199.92	88.46	76.92	0.0	3314 	1995 	0 	 4 	  
 17:25:44.754628	-199.92	88.39	76.89	0.0	3314 	1995 	0 	 4 	  
 17:25:45.280019	-199.92	88.39	76.89	0.0	3314 	1995 	0 	 4 	  
 17:25:45.794799	-199.92	88.27	76.78	0.0	3314 	1995 	0 	 4 	  
 17:25:46.306263	-199.92	88.27	76.78	0.0	3314 	1995 	0 	 4 	  
 17:25:46.816652	-199.92	88.21	76.67	0.0	3315 	1995 	200 	 4 	  
 17:25:47.332539	-199.92	88.21	76.67	0.01810708978140001	3328 	1995 	200 	 46 	  
 17:25:47.847676	-199.92	88.13	76.65	0.01853198558280001	3348 	1998 	200 	 210 	  
 17:25:48.364458	-199.92	88.13	76.65	0.019080866250400008	3351 	2003 	200 	 201 	  
 17:25:48.881961	-199.92	88.12	78.76	0.01950940707990001	3351 	2005 	200 	 198 	  
 17:25:49.397282	-199.92	88.12	78.76	0.019954762574699993	3354 	2007 	200 	 197 	  
 17:25:49.911337	-199.92	88.06	79.97	0.020384184182699994	3356 	2008 	200 	 197 	  
 17:25:50.429619	-199.92	88.06	79.97	0.020902946239499995	3355 	2008 	200 	 197 	  
 17:25:50.946101	-199.92	88.06	80.1	0.021336126335099997	3352 	2009 	200 	 197 	  
 17:25:51.461697	-199.92	88.06	80.1	0.021767801990699994	3351 	2008 	200 	 197 	  
 17:25:51.979153	-199.92	88.05	79.91	0.022199572091699996	3352 	2008 	200 	 197 	  
 17:25:52.494680	-199.92	88.05	79.91	0.022646588372200002	3353 	2008 	200 	 197 	  
 17:25:53.010949	-199.92	88.03	79.78	0.023077826707700005	3352 	2008 	200 	 197 	  
 17:25:53.528441	-199.92	88.03	79.78	0.0235404085028	3353 	2008 	200 	 197 	  
 17:25:54.047186	-199.92	87.96	79.49	0.0239748864656	3353 	2007 	200 	 197 	  
